Date of Journey,Class of Travel,Quota,From,To,Booking Date,Current Status,Number of Passengers,Age of Passengers,Travel Time,Special Considerations,Confirmation Status
23-11-2024,Sleeper,Ladies,Mumbai,Mumbai,24-03-2024,Waitlisted,1,Child,24,None,Not Confirmed
26-11-2024,Sleeper,General,Navsari,Surat,27-03-2024,RAC,2,Adult,44,Defense Quota,Confirmed
27-11-2024,3AC,Premium Tatkal,Mumbai,Ahmedabad,28-03-2024,RAC,3,Child,3,Senior Citizen,Confirmed
29-11-2024,1AC,Tatkal,Surat,Chennai,30-03-2024,Waitlisted,5,Adult,32,Senior Citizen,Not Confirmed
02-12-2024,Sleeper,Tatkal,Bhavnagar,Bengaluru,02-04-2024,Confirmed,4,Senior Citizen,32,Defense Quota,Confirmed
03-12-2024,2AC,Tatkal,Bharuch,Howrah,03-04-2024,RAC,5,Senior Citizen,4,Defense Quota,Confirmed
06-12-2024,Sleeper,Premium Tatkal,Mumbai,Ahmedabad,06-04-2024,Confirmed,1,Senior Citizen,7,None,Confirmed
12-12-2024,1AC,Premium Tatkal,Howrah,New Delhi,12-04-2024,Waitlisted,2,Child,30,Defense Quota,Not Confirmed
13-12-2024,3AC,General,Ahmedabad,Bhavnagar,13-04-2024,Waitlisted,5,Child,41,Defense Quota,Not Confirmed
14-12-2024,3AC,Tatkal,Bengaluru,Surat,14-04-2024,Waitlisted,5,Adult,34,Senior Citizen,Not Confirmed
15-12-2024,1AC,Ladies,Mumbai,Mumbai,15-04-2024,RAC,1,Child,4,Senior Citizen,Confirmed
16-12-2024,2AC,Premium Tatkal,Mumbai,Navsari,16-04-2024,Confirmed,4,Senior Citizen,32,Defense Quota,Confirmed
22-12-2024,Sleeper,Tatkal,Bengaluru,Mumbai,22-04-2024,RAC,1,Adult,30,Defense Quota,Confirmed
24-12-2024,1AC,Premium Tatkal,New Delhi,Lucknow,24-04-2024,Waitlisted,2,Child,43,Senior Citizen,Not Confirmed
30-12-2024,3AC,Premium Tatkal,Bhavnagar,Chennai,30-04-2024,Waitlisted,5,Senior Citizen,20,Senior Citizen,Not Confirmed
08-01-2025,3AC,Ladies,Bharuch,Bharuch,09-05-2024,RAC,4,Adult,43,None,Confirmed
10-01-2025,1AC,Tatkal,New Delhi,Ahmedabad,11-05-2024,Waitlisted,1,Adult,23,None,Not Confirmed
14-01-2025,3AC,Premium Tatkal,Navsari,Navsari,15-05-2024,RAC,5,Child,6,Defense Quota,Confirmed
15-01-2025,1AC,General,Ahmedabad,Bengaluru,16-05-2024,Waitlisted,5,Child,35,None,Not Confirmed
23-01-2025,2AC,Ladies,Surat,Bharuch,24-05-2024,Confirmed,2,Senior Citizen,47,None,Confirmed
30-01-2025,Sleeper,General,Navsari,Bengaluru,31-05-2024,Waitlisted,1,Adult,46,Senior Citizen,Not Confirmed
08-02-2025,3AC,General,Bharuch,Lucknow,09-06-2024,RAC,5,Adult,39,Senior Citizen,Confirmed
09-02-2025,3AC,Ladies,Chennai,Bengaluru,10-06-2024,Waitlisted,1,Senior Citizen,9,None,Not Confirmed
11-02-2025,1AC,General,Mumbai,Bhavnagar,12-06-2024,Waitlisted,1,Senior Citizen,10,Defense Quota,Not Confirmed
23-02-2025,2AC,General,Surat,New Delhi,24-06-2024,Waitlisted,4,Adult,45,Defense Quota,Not Confirmed
25-02-2025,2AC,General,Bharuch,Chennai,26-06-2024,Confirmed,4,Adult,36,Defense Quota,Confirmed
02-03-2025,1AC,Ladies,Ahmedabad,Surat,01-07-2024,Waitlisted,5,Child,18,Defense Quota,Not Confirmed
11-03-2025,2AC,Tatkal,Ahmedabad,Howrah,10-07-2024,Confirmed,4,Child,18,Senior Citizen,Confirmed
15-03-2025,3AC,Tatkal,Surat,Bengaluru,14-07-2024,RAC,3,Adult,34,Senior Citizen,Confirmed
26-03-2025,1AC,Ladies,Bhavnagar,Surat,25-07-2024,Waitlisted,1,Adult,30,None,Not Confirmed
28-03-2025,3AC,Ladies,Mumbai,Lucknow,27-07-2024,Confirmed,4,Child,3,None,Confirmed
29-03-2025,Sleeper,Tatkal,Surat,Bengaluru,28-07-2024,Confirmed,1,Adult,29,Defense Quota,Confirmed
31-03-2025,Sleeper,Ladies,Ahmedabad,Ahmedabad,30-07-2024,RAC,1,Adult,30,Defense Quota,Confirmed
09-04-2025,1AC,Tatkal,Chennai,Navsari,08-08-2024,Waitlisted,2,Child,19,Defense Quota,Not Confirmed
16-04-2025,Sleeper,Tatkal,New Delhi,Howrah,15-08-2024,Waitlisted,5,Adult,5,None,Not Confirmed
18-04-2025,2AC,General,Bharuch,Bharuch,17-08-2024,RAC,4,Senior Citizen,20,Defense Quota,Confirmed
19-04-2025,2AC,Tatkal,Howrah,Chennai,18-08-2024,Confirmed,4,Senior Citizen,45,Defense Quota,Confirmed
28-04-2025,Sleeper,Tatkal,Howrah,Mumbai,27-08-2024,Confirmed,3,Senior Citizen,9,Defense Quota,Confirmed
03-05-2025,3AC,Tatkal,Bharuch,Lucknow,01-09-2024,Waitlisted,2,Child,22,Defense Quota,Not Confirmed
06-05-2025,Sleeper,General,Bengaluru,Lucknow,04-09-2024,RAC,2,Child,38,None,Confirmed
13-05-2025,3AC,Ladies,Mumbai,Navsari,11-09-2024,Waitlisted,5,Senior Citizen,11,Senior Citizen,Not Confirmed
18-05-2025,2AC,Tatkal,Bharuch,Bharuch,16-09-2024,RAC,3,Child,34,Defense Quota,Confirmed
19-05-2025,Sleeper,Premium Tatkal,Bharuch,Mumbai,17-09-2024,RAC,2,Senior Citizen,36,Senior Citizen,Confirmed
29-05-2025,Sleeper,General,Chennai,Chennai,27-09-2024,RAC,2,Child,42,Defense Quota,Confirmed
31-05-2025,1AC,Tatkal,Bengaluru,Chennai,29-09-2024,Waitlisted,4,Adult,24,Senior Citizen,Not Confirmed
07-06-2025,Sleeper,Ladies,Lucknow,Ahmedabad,06-10-2024,Waitlisted,4,Adult,17,None,Not Confirmed
09-06-2025,1AC,Tatkal,Ahmedabad,Bharuch,08-10-2024,Waitlisted,4,Child,10,Defense Quota,Not Confirmed
15-06-2025,Sleeper,Ladies,Howrah,Lucknow,14-10-2024,Confirmed,2,Adult,39,Defense Quota,Confirmed
23-06-2025,2AC,Tatkal,New Delhi,Chennai,22-10-2024,RAC,2,Adult,6,None,Confirmed
28-06-2025,3AC,Tatkal,Surat,Bengaluru,27-10-2024,Confirmed,4,Adult,47,Senior Citizen,Confirmed
05-07-2025,2AC,General,Chennai,Howrah,03-11-2024,RAC,3,Adult,21,Senior Citizen,Confirmed
08-07-2025,1AC,General,Mumbai,Mumbai,06-11-2024,Waitlisted,4,Child,46,Defense Quota,Not Confirmed
19-07-2025,2AC,Ladies,Lucknow,Howrah,17-11-2024,Waitlisted,5,Child,6,Defense Quota,Not Confirmed
26-07-2025,1AC,General,Navsari,Surat,24-11-2024,RAC,3,Child,36,Defense Quota,Confirmed
30-07-2025,3AC,Tatkal,Ahmedabad,Lucknow,28-11-2024,Waitlisted,2,Adult,14,Defense Quota,Not Confirmed
09-08-2025,3AC,Tatkal,Surat,Chennai,08-12-2024,Waitlisted,5,Senior Citizen,15,Defense Quota,Not Confirmed
10-08-2025,Sleeper,Ladies,Howrah,New Delhi,09-12-2024,Waitlisted,3,Senior Citizen,36,Defense Quota,Not Confirmed
11-08-2025,Sleeper,Ladies,Bhavnagar,Lucknow,10-12-2024,Confirmed,3,Adult,19,Defense Quota,Confirmed
12-08-2025,1AC,General,Ahmedabad,Chennai,11-12-2024,RAC,1,Adult,19,Defense Quota,Confirmed
18-08-2025,3AC,Premium Tatkal,Ahmedabad,Mumbai,17-12-2024,Waitlisted,1,Senior Citizen,41,Senior Citizen,Not Confirmed
19-08-2025,1AC,General,Mumbai,Surat,18-12-2024,Waitlisted,5,Senior Citizen,7,Senior Citizen,Not Confirmed
22-08-2025,2AC,Tatkal,Bengaluru,Mumbai,21-12-2024,Confirmed,1,Senior Citizen,18,None,Confirmed
23-08-2025,2AC,Ladies,Bengaluru,Bhavnagar,22-12-2024,Waitlisted,1,Child,46,Defense Quota,Not Confirmed
24-08-2025,1AC,Tatkal,Bengaluru,Navsari,23-12-2024,RAC,4,Senior Citizen,46,None,Confirmed
26-08-2025,1AC,Premium Tatkal,New Delhi,Surat,25-12-2024,RAC,2,Adult,17,Senior Citizen,Confirmed
31-08-2025,Sleeper,Ladies,Navsari,Lucknow,30-12-2024,Waitlisted,5,Senior Citizen,6,Senior Citizen,Not Confirmed
04-09-2025,3AC,Tatkal,Surat,Mumbai,03-01-2025,RAC,5,Child,27,None,Confirmed
09-09-2025,1AC,General,New Delhi,Bengaluru,08-01-2025,RAC,1,Child,45,Defense Quota,Confirmed
18-09-2025,1AC,Tatkal,Ahmedabad,Howrah,17-01-2025,RAC,4,Adult,2,Senior Citizen,Confirmed
20-09-2025,2AC,General,Howrah,Bhavnagar,19-01-2025,Confirmed,2,Adult,6,Senior Citizen,Confirmed
21-09-2025,3AC,General,Bengaluru,Bharuch,20-01-2025,Waitlisted,5,Senior Citizen,18,Senior Citizen,Not Confirmed
02-10-2025,1AC,Premium Tatkal,Bengaluru,Ahmedabad,31-01-2025,Confirmed,2,Child,22,Defense Quota,Confirmed
05-10-2025,Sleeper,General,Navsari,Howrah,03-02-2025,RAC,5,Child,14,None,Confirmed
07-10-2025,1AC,General,Howrah,Bengaluru,05-02-2025,Waitlisted,2,Child,47,None,Not Confirmed
17-10-2025,3AC,Ladies,Navsari,Bengaluru,15-02-2025,Waitlisted,4,Adult,23,None,Not Confirmed
26-10-2025,2AC,Ladies,Ahmedabad,Lucknow,24-02-2025,Confirmed,1,Adult,41,Defense Quota,Confirmed
27-10-2025,Sleeper,General,Mumbai,Lucknow,25-02-2025,RAC,5,Senior Citizen,38,None,Confirmed
01-11-2025,Sleeper,Ladies,Surat,Mumbai,02-03-2025,Waitlisted,1,Adult,41,None,Not Confirmed
02-11-2025,2AC,General,Ahmedabad,Bharuch,03-03-2025,Confirmed,3,Child,21,Senior Citizen,Confirmed
05-11-2025,3AC,Tatkal,Bengaluru,Bhavnagar,06-03-2025,Waitlisted,1,Child,39,Defense Quota,Not Confirmed
17-11-2025,3AC,General,Bharuch,Navsari,18-03-2025,Waitlisted,5,Adult,17,Defense Quota,Not Confirmed
02-12-2025,2AC,General,Lucknow,Howrah,02-04-2025,Confirmed,5,Adult,25,None,Confirmed
04-12-2025,Sleeper,Tatkal,Mumbai,Navsari,04-04-2025,Confirmed,3,Adult,47,Senior Citizen,Confirmed
09-12-2025,1AC,Tatkal,Bhavnagar,Howrah,09-04-2025,RAC,3,Senior Citizen,38,None,Confirmed
13-12-2025,2AC,Tatkal,Lucknow,Navsari,13-04-2025,Waitlisted,1,Adult,24,Senior Citizen,Not Confirmed
21-12-2025,3AC,Tatkal,Bengaluru,Howrah,21-04-2025,Confirmed,4,Child,15,Defense Quota,Confirmed
25-12-2025,2AC,Premium Tatkal,Ahmedabad,Surat,25-04-2025,Confirmed,5,Adult,29,None,Confirmed
27-12-2025,1AC,General,New Delhi,Chennai,27-04-2025,RAC,2,Adult,5,Senior Citizen,Confirmed
28-12-2025,Sleeper,Tatkal,Navsari,Chennai,28-04-2025,Confirmed,5,Adult,17,None,Confirmed
08-01-2026,Sleeper,Tatkal,Howrah,Chennai,09-05-2025,RAC,5,Senior Citizen,45,Senior Citizen,Confirmed
09-01-2026,3AC,Tatkal,Bharuch,Chennai,10-05-2025,RAC,5,Senior Citizen,39,None,Confirmed
11-01-2026,Sleeper,Premium Tatkal,Navsari,Chennai,12-05-2025,RAC,4,Senior Citizen,18,Senior Citizen,Confirmed
19-01-2026,3AC,Premium Tatkal,Navsari,New Delhi,20-05-2025,Waitlisted,4,Child,14,None,Not Confirmed
09-02-2026,3AC,Ladies,Navsari,Bhavnagar,10-06-2025,Waitlisted,1,Senior Citizen,35,Defense Quota,Not Confirmed
10-02-2026,1AC,Ladies,Navsari,Howrah,11-06-2025,Waitlisted,1,Child,12,None,Not Confirmed
12-02-2026,3AC,General,Mumbai,Surat,13-06-2025,Confirmed,4,Adult,22,None,Confirmed
15-02-2026,3AC,Tatkal,Navsari,Surat,16-06-2025,Confirmed,2,Senior Citizen,13,Senior Citizen,Confirmed
19-02-2026,3AC,Ladies,Bhavnagar,Chennai,20-06-2025,Waitlisted,1,Child,37,Senior Citizen,Not Confirmed
20-02-2026,1AC,Tatkal,Ahmedabad,Bengaluru,21-06-2025,Waitlisted,1,Child,32,Senior Citizen,Not Confirmed
23-02-2026,1AC,Ladies,Bhavnagar,Howrah,24-06-2025,Confirmed,4,Child,35,Senior Citizen,Confirmed
27-02-2026,3AC,General,New Delhi,Chennai,28-06-2025,Confirmed,2,Senior Citizen,33,None,Confirmed
01-03-2026,1AC,Tatkal,Bharuch,Mumbai,30-06-2025,RAC,5,Adult,16,Senior Citizen,Confirmed
04-03-2026,Sleeper,Tatkal,Chennai,Ahmedabad,03-07-2025,Waitlisted,2,Adult,13,None,Not Confirmed
09-03-2026,2AC,Premium Tatkal,New Delhi,Bharuch,08-07-2025,Waitlisted,5,Child,43,Defense Quota,Not Confirmed
12-03-2026,1AC,Tatkal,Mumbai,Bengaluru,11-07-2025,RAC,5,Child,16,Senior Citizen,Confirmed
17-03-2026,2AC,Tatkal,Chennai,Bengaluru,16-07-2025,Confirmed,5,Senior Citizen,22,Defense Quota,Confirmed
23-03-2026,2AC,Premium Tatkal,Mumbai,Lucknow,22-07-2025,Waitlisted,2,Adult,29,Defense Quota,Not Confirmed
26-03-2026,3AC,General,Howrah,Mumbai,25-07-2025,RAC,5,Senior Citizen,33,None,Confirmed
31-03-2026,Sleeper,General,Bhavnagar,Bengaluru,30-07-2025,Waitlisted,4,Child,38,Senior Citizen,Not Confirmed
06-04-2026,2AC,General,Surat,Bharuch,05-08-2025,Confirmed,4,Child,4,Senior Citizen,Confirmed
10-04-2026,1AC,Tatkal,Howrah,Chennai,09-08-2025,RAC,1,Child,27,None,Confirmed
11-04-2026,Sleeper,Tatkal,Surat,Mumbai,10-08-2025,Confirmed,3,Adult,13,None,Confirmed
18-04-2026,3AC,Premium Tatkal,Howrah,Lucknow,17-08-2025,Waitlisted,1,Adult,13,None,Not Confirmed
19-04-2026,1AC,Premium Tatkal,Chennai,Ahmedabad,18-08-2025,Confirmed,4,Child,47,Defense Quota,Confirmed
23-04-2026,Sleeper,Tatkal,Bharuch,New Delhi,22-08-2025,Waitlisted,2,Adult,23,Senior Citizen,Not Confirmed
27-04-2026,Sleeper,General,Bharuch,Howrah,26-08-2025,Confirmed,3,Child,16,Senior Citizen,Confirmed
29-04-2026,2AC,Tatkal,New Delhi,Bhavnagar,28-08-2025,Waitlisted,4,Senior Citizen,17,None,Not Confirmed
02-05-2026,1AC,General,Chennai,Bengaluru,31-08-2025,Confirmed,5,Adult,28,None,Confirmed
05-05-2026,Sleeper,Ladies,New Delhi,Howrah,03-09-2025,Confirmed,5,Adult,10,Defense Quota,Confirmed
08-05-2026,Sleeper,Ladies,Surat,Mumbai,06-09-2025,RAC,5,Adult,39,None,Confirmed
09-05-2026,Sleeper,Tatkal,Surat,Bharuch,07-09-2025,Waitlisted,2,Senior Citizen,13,Senior Citizen,Not Confirmed
10-05-2026,Sleeper,Ladies,Bhavnagar,Howrah,08-09-2025,RAC,4,Senior Citizen,43,None,Confirmed
12-05-2026,1AC,General,Howrah,Lucknow,10-09-2025,Confirmed,2,Adult,7,Senior Citizen,Confirmed
16-05-2026,Sleeper,General,Mumbai,Bengaluru,14-09-2025,Confirmed,2,Adult,25,Senior Citizen,Confirmed
26-05-2026,1AC,Ladies,Bengaluru,Ahmedabad,24-09-2025,Confirmed,4,Adult,27,Defense Quota,Confirmed
28-05-2026,1AC,General,New Delhi,Navsari,26-09-2025,Waitlisted,3,Adult,32,Senior Citizen,Not Confirmed
31-05-2026,2AC,Tatkal,Surat,Ahmedabad,29-09-2025,Confirmed,3,Senior Citizen,41,Senior Citizen,Confirmed
02-06-2026,3AC,Tatkal,Lucknow,Chennai,01-10-2025,Waitlisted,1,Adult,24,Senior Citizen,Not Confirmed
06-06-2026,3AC,Premium Tatkal,New Delhi,Bharuch,05-10-2025,RAC,2,Senior Citizen,37,None,Confirmed
07-06-2026,Sleeper,Premium Tatkal,Bengaluru,Chennai,06-10-2025,RAC,3,Adult,23,Defense Quota,Confirmed
08-06-2026,3AC,Tatkal,Mumbai,Navsari,07-10-2025,RAC,4,Child,17,Senior Citizen,Confirmed
21-06-2026,Sleeper,General,New Delhi,Lucknow,20-10-2025,Waitlisted,5,Child,47,Senior Citizen,Not Confirmed
26-06-2026,1AC,Premium Tatkal,Surat,Navsari,25-10-2025,Waitlisted,4,Senior Citizen,4,Senior Citizen,Not Confirmed
27-06-2026,3AC,General,Bharuch,Bhavnagar,26-10-2025,RAC,2,Adult,7,Defense Quota,Confirmed
02-07-2026,1AC,Ladies,Mumbai,Bharuch,31-10-2025,Waitlisted,1,Adult,14,Defense Quota,Not Confirmed
05-07-2026,3AC,Ladies,Chennai,Navsari,03-11-2025,RAC,4,Child,11,Senior Citizen,Confirmed
07-07-2026,2AC,Premium Tatkal,Bengaluru,Navsari,05-11-2025,Confirmed,5,Child,17,Senior Citizen,Confirmed
09-07-2026,Sleeper,Premium Tatkal,Surat,Mumbai,07-11-2025,RAC,4,Adult,45,Defense Quota,Confirmed
15-07-2026,2AC,Premium Tatkal,Surat,Bhavnagar,13-11-2025,Waitlisted,1,Child,3,Defense Quota,Not Confirmed
17-07-2026,1AC,General,Ahmedabad,Navsari,15-11-2025,Confirmed,2,Child,29,None,Confirmed
19-07-2026,3AC,General,Ahmedabad,Bengaluru,17-11-2025,Waitlisted,1,Senior Citizen,32,None,Not Confirmed
26-07-2026,Sleeper,Premium Tatkal,Bhavnagar,Navsari,24-11-2025,RAC,1,Senior Citizen,30,Senior Citizen,Confirmed
29-07-2026,3AC,Premium Tatkal,Lucknow,Mumbai,27-11-2025,RAC,1,Senior Citizen,19,Senior Citizen,Confirmed
30-07-2026,2AC,Ladies,Navsari,Surat,28-11-2025,RAC,1,Adult,4,Defense Quota,Confirmed
02-08-2026,Sleeper,Tatkal,Bhavnagar,Surat,01-12-2025,Confirmed,2,Child,43,Defense Quota,Confirmed
04-08-2026,Sleeper,Tatkal,Ahmedabad,Ahmedabad,03-12-2025,Confirmed,4,Child,45,None,Confirmed
11-08-2026,Sleeper,Tatkal,Navsari,Howrah,10-12-2025,Waitlisted,2,Senior Citizen,4,Defense Quota,Not Confirmed
14-08-2026,3AC,Tatkal,Surat,Ahmedabad,13-12-2025,Confirmed,2,Child,38,Senior Citizen,Confirmed
19-08-2026,1AC,General,Lucknow,Bhavnagar,18-12-2025,RAC,3,Child,20,Defense Quota,Confirmed
01-09-2026,Sleeper,Premium Tatkal,Howrah,Howrah,31-12-2025,Waitlisted,3,Child,16,None,Not Confirmed
03-09-2026,Sleeper,Premium Tatkal,Bharuch,Bengaluru,02-01-2026,Waitlisted,5,Senior Citizen,33,Defense Quota,Not Confirmed
07-09-2026,Sleeper,Tatkal,Surat,Lucknow,06-01-2026,Confirmed,3,Adult,6,Senior Citizen,Confirmed
15-09-2026,2AC,Ladies,Howrah,Bengaluru,14-01-2026,Confirmed,3,Adult,16,Senior Citizen,Confirmed
20-09-2026,2AC,Tatkal,Surat,Ahmedabad,19-01-2026,Confirmed,4,Child,29,None,Confirmed
21-09-2026,2AC,Premium Tatkal,Mumbai,New Delhi,20-01-2026,Confirmed,3,Senior Citizen,42,None,Confirmed
24-09-2026,3AC,Premium Tatkal,Lucknow,Bengaluru,23-01-2026,Waitlisted,2,Adult,29,None,Not Confirmed
28-09-2026,1AC,Premium Tatkal,Bharuch,Surat,27-01-2026,Confirmed,4,Child,26,None,Confirmed
29-09-2026,2AC,Ladies,New Delhi,Bhavnagar,28-01-2026,Waitlisted,3,Adult,16,None,Not Confirmed
30-09-2026,3AC,General,Mumbai,Navsari,29-01-2026,Waitlisted,4,Adult,4,Defense Quota,Not Confirmed
03-10-2026,1AC,Ladies,Lucknow,Howrah,01-02-2026,Waitlisted,1,Child,36,None,Not Confirmed
04-10-2026,3AC,Premium Tatkal,Surat,Bharuch,02-02-2026,RAC,4,Adult,25,Senior Citizen,Confirmed
06-10-2026,1AC,General,New Delhi,New Delhi,04-02-2026,RAC,5,Child,3,None,Confirmed
18-10-2026,2AC,Ladies,Bharuch,Chennai,16-02-2026,Confirmed,2,Child,18,None,Confirmed
20-10-2026,Sleeper,Ladies,Bhavnagar,Mumbai,18-02-2026,RAC,4,Adult,14,Senior Citizen,Confirmed
23-10-2026,1AC,Ladies,Howrah,Bengaluru,21-02-2026,Confirmed,1,Senior Citizen,10,Defense Quota,Confirmed
25-10-2026,1AC,Ladies,Bengaluru,Howrah,23-02-2026,RAC,4,Adult,40,Senior Citizen,Confirmed
28-10-2026,1AC,Tatkal,Mumbai,Ahmedabad,26-02-2026,RAC,2,Adult,29,Defense Quota,Confirmed
30-10-2026,3AC,General,Navsari,Howrah,28-02-2026,Confirmed,1,Senior Citizen,24,Senior Citizen,Confirmed
04-11-2026,2AC,Premium Tatkal,Bharuch,New Delhi,05-03-2026,Confirmed,3,Child,7,None,Confirmed
05-11-2026,Sleeper,Ladies,New Delhi,Bengaluru,06-03-2026,Confirmed,2,Child,28,Defense Quota,Confirmed
08-11-2026,1AC,Ladies,Navsari,Navsari,09-03-2026,Waitlisted,2,Senior Citizen,33,None,Not Confirmed
09-11-2026,2AC,Premium Tatkal,Ahmedabad,New Delhi,10-03-2026,RAC,2,Child,6,Senior Citizen,Confirmed
15-11-2026,2AC,Premium Tatkal,Surat,Howrah,16-03-2026,Waitlisted,4,Adult,39,None,Not Confirmed
18-11-2026,1AC,General,Chennai,Bengaluru,19-03-2026,RAC,3,Child,23,Senior Citizen,Confirmed
19-11-2026,3AC,Tatkal,Howrah,Bhavnagar,20-03-2026,Confirmed,5,Senior Citizen,2,None,Confirmed
24-11-2026,2AC,Premium Tatkal,New Delhi,Chennai,25-03-2026,Confirmed,3,Senior Citizen,34,None,Confirmed
29-11-2026,Sleeper,Premium Tatkal,Mumbai,Bengaluru,30-03-2026,RAC,5,Adult,27,Defense Quota,Confirmed
01-12-2026,2AC,Ladies,Surat,Surat,01-04-2026,Waitlisted,1,Senior Citizen,14,Defense Quota,Not Confirmed
08-12-2026,1AC,Ladies,Navsari,Bharuch,08-04-2026,RAC,3,Child,46,Senior Citizen,Confirmed
12-12-2026,Sleeper,General,Mumbai,Surat,12-04-2026,Waitlisted,2,Child,11,Defense Quota,Not Confirmed
14-12-2026,1AC,Premium Tatkal,Bhavnagar,Howrah,14-04-2026,Confirmed,1,Senior Citizen,32,Senior Citizen,Confirmed
18-12-2026,3AC,Ladies,Bharuch,Surat,18-04-2026,Waitlisted,1,Child,25,None,Not Confirmed
19-12-2026,Sleeper,Tatkal,Surat,Ahmedabad,19-04-2026,RAC,4,Senior Citizen,33,None,Confirmed
22-12-2026,1AC,Tatkal,Chennai,Bengaluru,22-04-2026,RAC,2,Senior Citizen,27,None,Confirmed
24-12-2026,3AC,Ladies,Surat,Howrah,24-04-2026,Waitlisted,5,Senior Citizen,13,Defense Quota,Not Confirmed
27-12-2026,Sleeper,Premium Tatkal,Mumbai,Howrah,27-04-2026,Confirmed,1,Adult,24,Senior Citizen,Confirmed
28-12-2026,2AC,Premium Tatkal,Howrah,Chennai,28-04-2026,Confirmed,1,Senior Citizen,40,Defense Quota,Confirmed
02-01-2027,2AC,Tatkal,Ahmedabad,Mumbai,03-05-2026,Confirmed,1,Adult,13,Defense Quota,Confirmed
04-01-2027,Sleeper,General,Navsari,Navsari,05-05-2026,RAC,3,Child,47,None,Confirmed
10-01-2027,1AC,Premium Tatkal,Ahmedabad,Mumbai,11-05-2026,RAC,3,Child,36,None,Confirmed
12-01-2027,2AC,Premium Tatkal,Bengaluru,New Delhi,13-05-2026,Confirmed,1,Child,4,Defense Quota,Confirmed
14-01-2027,Sleeper,Ladies,Bhavnagar,Bengaluru,15-05-2026,RAC,1,Senior Citizen,24,Defense Quota,Confirmed
25-01-2027,Sleeper,Premium Tatkal,Bengaluru,Navsari,26-05-2026,Waitlisted,5,Adult,4,Defense Quota,Not Confirmed
30-01-2027,Sleeper,Ladies,Bharuch,Bengaluru,31-05-2026,Confirmed,2,Senior Citizen,38,None,Confirmed
02-02-2027,1AC,Premium Tatkal,Mumbai,Howrah,03-06-2026,Waitlisted,2,Child,25,None,Not Confirmed
05-02-2027,1AC,Tatkal,Ahmedabad,Ahmedabad,06-06-2026,Confirmed,5,Child,43,None,Confirmed
07-02-2027,2AC,Ladies,Bharuch,Chennai,08-06-2026,RAC,3,Adult,4,Senior Citizen,Confirmed
13-02-2027,3AC,General,Howrah,Navsari,14-06-2026,Confirmed,1,Adult,13,None,Confirmed
15-02-2027,3AC,Premium Tatkal,Mumbai,Lucknow,16-06-2026,Waitlisted,2,Senior Citizen,41,Defense Quota,Not Confirmed
19-02-2027,2AC,Tatkal,Bharuch,Navsari,20-06-2026,RAC,4,Adult,26,None,Confirmed
24-02-2027,Sleeper,Tatkal,Ahmedabad,Mumbai,25-06-2026,RAC,4,Child,7,Defense Quota,Confirmed
27-02-2027,Sleeper,Tatkal,Mumbai,Chennai,28-06-2026,Confirmed,4,Child,43,Senior Citizen,Confirmed
03-03-2027,2AC,Ladies,Chennai,Navsari,02-07-2026,RAC,5,Senior Citizen,21,Defense Quota,Confirmed
11-03-2027,1AC,Premium Tatkal,Bengaluru,New Delhi,10-07-2026,RAC,1,Senior Citizen,39,Defense Quota,Confirmed
15-03-2027,1AC,Premium Tatkal,New Delhi,Bharuch,14-07-2026,Confirmed,5,Adult,12,Senior Citizen,Confirmed
